movie_id,tmdb_id,release_date,genres,original_language,runtime,vote_average,poster_path,title,overview
16-blocks,2207,2006-03-01,"['Action', 'Adventure', 'Crime', 'Thriller']",en,105,3.2,/cBLqMVfTZpuKmMQKDLKusb93dbR.jpg,16 Blocks,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there."
16-wishes,40205,2010-10-02,"['Fantasy', 'Drama', 'Family']",en,90,3.1,/tO8TZvH83uHtrLnec6f684xfzOB.jpg,16 Wishes,"The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything."
17-again,16996,2009-03-11,"['Comedy', 'Fantasy', 'Drama', 'Romance']",en,102,3.2,/yEcfFXEWpuXcfsR9nKESVCFneqV.jpg,17 Again,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all."
1917,530915,2019-12-25,"['War', 'History', 'Thriller', 'Drama']",en,119,4.0,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
1922-2017,452507,2017-10-20,"['Horror', 'Crime', 'Drama']",en,102,3.0,/q4FQOiSRhTLWulHl5Vpg37FMArH.jpg,1922,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate."
1941,11519,1979-12-14,"['Comedy', 'War', 'Action']",en,118,2.9,/52Bn5yC6IHQuVxPUza3Q6RZCZTu.jpg,1941,"In the days after the attack on Pearl Harbor, panic grips California, where a military officer leads a mob chasing a Japanese sub."
1br,611605,2019-07-18,"['Thriller', 'Drama', 'Horror']",en,90,3.0,/aiYLasUoJXqOgJ9pnahDMELC9wf.jpg,1BR,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she thinks she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her."
2-fast-2-furious,584,2003-06-05,"['Action', 'Crime', 'Thriller']",en,107,3.3,/6nDZExrDKIXvSAghsFKVFRVJuSf.jpg,2 Fast 2 Furious,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down."
2-guns,136400,2013-08-02,"['Action', 'Comedy', 'Crime']",en,109,3.3,/ptURGAFktibhk7DEAbMazlmNqWa.jpg,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.
2-or-3-things-i-know-about-her,8074,1967-03-17,"['Comedy', 'Drama']",fr,87,3.1,/w1LO1SIrpA4GCjK3ysANr7F3eAN.jpg,2 or 3 Things I Know About Her,"As the city of Paris and the French people grow in consumer culture, a housewife living in a high-rise apartment with her husband and two children takes to prostitution to help pay the bills."
20-feet-from-stardom,159014,2013-06-14,"['Documentary', 'Music']",en,89,3.6,/6iRxKxfE6SB586cQV3BH8NSMzoZ.jpg,20 Feet from Stardom,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now."
20000-leagues-under-the-sea-1954,173,1954-12-23,"['Adventure', 'Science Fiction', 'Family']",en,127,3.5,/heAEH85fdxEgV98LizHbQCL95iZ.jpg,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
2001-a-space-odyssey,62,1968-04-02,"['Science Fiction', 'Mystery', 'Adventure']",en,149,4.0,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
2010-1984,4437,1984-12-06,"['Thriller', 'Science Fiction']",en,116,3.3,/mEWKXuCMv7mFMxXVSTI3v8UOQuq.jpg,2010,"While planet Earth poises on the brink of nuclear self-destruction, a team of Russian and American scientists aboard the Leonov hurtles to a rendezvous with the still-orbiting Discovery spacecraft and its sole known survivor, the homicidal computer HAL."
2012,14161,2009-10-10,"['Action', 'Adventure', 'Science Fiction']",en,158,2.9,/zaqam2RNscH5ooYFWInV6hjx6y5.jpg,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
2036-nexus-dawn,473072,2017-08-30,"['Science Fiction', 'Thriller']",en,7,3.4,/qPci3811kFmPPEevGrnjeKWokD4.jpg,2036: Nexus Dawn,"This in-world short film takes place in the year 2036 and revolves around Jared Leto’s character, Niander Wallace. In this short, Wallace introduces a new line of “perfected” replicants called the Nexus 9, seeking to get the prohibition on replicants repealed. This no doubt has serious ramifications that will be crucial to the plot of Blade Runner 2049."
2046,844,2004-10-29,"['Drama', 'Science Fiction', 'Romance']",zh,128,3.6,/jIN65qw0Giplo4CshzMrxz204Wn.jpg,2046,Women enter and exit a science fiction author's life over the course of a few years after the author loses the woman he considers his one true love.
2048-nowhere-to-run,475759,2017-09-14,"['Science Fiction', 'Thriller', 'Action']",en,6,3.4,/l8JKbUCIe4y1LujxMMjbxG6ueH.jpg,2048: Nowhere to Run,"“2048: Nowhere to Run” takes place one year before the events of Blade Runner 2049. The short film focuses on Sapper, a man who is trying to make it through life day-by-day without turning back to his old ways. We’re introduced to both the gentle nature of Sapper and the violence he’s capable of when set off."
20th-century-women,342737,2016-12-28,['Drama'],en,119,3.6,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,20th Century Women,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing."
21,8065,2008-03-27,"['Drama', 'Crime']",en,123,3.3,/BQzE6oTStXIZ5dqjXmRIVp19YB.jpg,21,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack."
21-bridges,535292,2019-10-24,"['Crime', 'Action', 'Drama']",en,99,3.4,/kDlmrGZROewneCoSwPjKx6Qfown.jpg,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him."
21-grams,470,2003-09-06,"['Drama', 'Crime', 'Thriller']",en,124,3.7,/imIqC8ufkxwgz1YNlNQIugsFbrQ.jpg,21 Grams,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives."
21-jump-street,64688,2012-03-14,"['Action', 'Comedy', 'Crime']",en,109,3.4,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,21 Jump Street,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind."
21-over,107811,2013-03-01,['Comedy'],en,93,2.9,/ruPRsaWpSbHv2085k1bO2HbSAUV.jpg,21 & Over,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan."
22-july,474354,2018-10-04,"['Crime', 'Drama', 'History', 'Thriller']",en,143,3.5,/rd940KzuIZwbdOvOUF7XDTzn8te.jpg,22 July,"On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved."
22-jump-street,187017,2014-06-05,"['Crime', 'Comedy', 'Action']",en,112,3.4,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."
22-vs-earth,811367,2021-04-30,"['Family', 'Comedy', 'Fantasy', 'Animation']",en,9,3.5,/32vLDKSzcCMh55zqqaSqqUA8naz.jpg,22 vs. Earth,"Set before the events of ‘Soul’, 22 refuses to go to Earth, enlisting a gang of 5 new souls in attempt of rebellion. However, 22’s subversive plot leads to a surprising revelation about the meaning of life."
24-frames,377269,2017-07-17,['Drama'],en,114,3.2,/oWHZdSSWiclgMUjVg3eYDBCbiAL.jpg,24 Frames,"A collection of 24 short four-and-a-half minutes films inspired by still images, including paintings and photographs. An experimental project made by filmmaker Abbas Kiarostami in the last three years of his life."
24-hour-party-people,2750,2002-02-13,"['Comedy', 'Drama', 'Music']",en,117,3.5,/8f50NQ1wz6hdxfCISCPV8XQ6DII.jpg,24 Hour Party People,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club."
25th-hour,1429,2002-12-19,"['Crime', 'Drama']",en,135,3.6,/uW7tTRElr2tRhmAVESzvHy4ByXg.jpg,25th Hour,"In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence."
27-dresses,6557,2008-01-10,"['Comedy', 'Romance']",en,111,3.2,/rEfourJfgEyKiewwH8ZkUYt9AqE.jpg,27 Dresses,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.
28-days,10468,2000-04-06,"['Comedy', 'Drama']",en,103,3.1,/tlgz7Shx0UavR5pyITeJ2mUHKFI.jpg,28 Days,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction."
28-days-later,170,2002-10-31,"['Horror', 'Thriller', 'Science Fiction']",en,113,3.6,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
28-weeks-later,1562,2007-04-26,"['Horror', 'Thriller', 'Science Fiction']",en,100,3.3,/ja8nzgtzhJq0vtX3BJcnbceIxCF.jpg,28 Weeks Later,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims."
3-2003-1,15016,2003-09-27,"['Animation', 'Family']",en,83,3.5,/sLpCLVQWTU7BI4yAL6kIFM9J3eX.jpg,Barbie of Swan Lake,"Barbie as Odette, the young daughter of a baker, follows a unicorn into the Enchanted Forest and is transformed into a swan by an evil wizard intent on defeating the Fairy Queen."
3-days-to-kill,192102,2014-02-14,"['Action', 'Drama', 'Thriller']",en,113,3.0,/zkszfD4Bf3rzwcMZVstC1n40k3A.jpg,3 Days to Kill,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town."
3-from-hell,489064,2019-09-16,"['Horror', 'Thriller', 'Action']",en,115,2.9,/wWWjBJbORsB9xt17eXmYEYhinux.jpg,3 from Hell,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained. Teaming up with Otis’ half-brother Winslow, the demented Firefly clan escape to unleash a whole new wave of murder, madness and mayhem."
3-idiots,20453,2009-12-23,"['Drama', 'Comedy']",hi,171,4.0,/66A9MqXOyVFCssoloscw79z8Tew.jpg,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all."
3-iron,1280,2004-10-15,"['Drama', 'Romance', 'Crime']",ko,88,3.9,/nHN17NW8amE7iRVtM2VX4OnyxHl.jpg,3-Iron,"A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him."
3-men-and-a-baby,12154,1987-11-27,['Comedy'],en,102,3.1,/oYetboAljWR2N5A7MU3i63DvUtd.jpg,3 Men and a Baby,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.
